domain;rank;url;ground truth;PTdetector
bbc.com;108;https://www.bbc.com;["jQuery@1.9.1", "Modernizr@3.6.0", "Underscore@1.8.3", "RequireJS@2.3.2", "core-js"];["jQuery:99.67!1", "RequireJS:98.88!1", "Underscore:96.90!1", "core-js:92.03!1", "Modernizr:69.75!1"]
fedex.com;109;https://www.fedex.com;["Lo-Dash@4.17.21", "Underscore", "jQuery UI@1.12.1", "jQuery@1.12.4", "Moment.js@2.29.1", "Moment Timezone@0.5.27"];["Lo-Dash:100.01!1", "jQuery UI:99.89!1", "jQuery:99.82!1", "Moment.js:99.50!1", "Underscore:92.58!1", "Moment Timezone:89.39!1"]
ups.com;112;https://www.ups.com;["Bootstrap@4.6.0", "jQuery@3.6.0", "core-js"];["jQuery:99.87!1", "core-js:93.82!1", "Bootstrap:91.59!1"]
kohls.com;118;https://www.kohls.com;["jQuery@3.3.1", "SWFObject", "FlexSlider", "core-js"];["jQuery:99.87!1", "FlexSlider:90.53!1", "core-js:90.52!1", "SWFObject:88.10!1"]
toyota.com;119;https://www.toyota.com;["jQuery@2.1.3", "Modernizr@2.8.3", "Underscore@1.13.1", "Handlebars@4.7.7", "core-js"];["jQuery:99.67!1", "Handlebars:99.59!1", "core-js:98.90!1", "Underscore:98.75!2", "Modernizr:76.58!1"]
bankofamerica.com;121;https://www.bankofamerica.com;["Lo-Dash@4.17.21", "RequireJS@2.2.0", "Underscore", "core-js"];["Lo-Dash:100.01!1", "core-js:98.90!1", "RequireJS:98.88!1", "Underscore:91.97!1"]
npr.org;122;https://www.npr.org;["jQuery@2.2.4", "React", "Modernizr@2.8.3", "IfVisible.js", "core-js"];["IfVisible.js:100.00!2", "jQuery:99.77!1", "core-js:98.90!1", "Modernizr:75.31!1", "Underscore:67.28!1"]
speedtest.net;123;https://www.speedtest.net;["Lo-Dash@4.17.21", "jQuery@3.6.0", "React", "core-js", "Backbone@1.4.0", "Velocity.js", "Underscore"];["Lo-Dash:100.01!1", "jQuery:99.87!1", "core-js:98.90!1", "Underscore:91.97!1", "Backbone:90.74!1", "Velocity.js:88.48!2"]
dailymail.co.uk;125;https://www.dailymail.co.uk;["jQuery@1.10.2", "Ext JS@3.1.0-MOL", "React", "core-js"];["jQuery:99.67!1", "core-js:96.02!1", "React:83.16!3", "Ext JS:75.43!1"]
dickssportinggoods.com;137;https://www.dickssportinggoods.com;["React", "core-js@3.19.1", "jQuery@3.4.1", "Bootstrap@4.0.0"];["jQuery:99.87!1", "core-js:98.90!1", "Bootstrap:90.29!1"]
giphy.com;138;https://www.giphy.com;["Lo-Dash@4.17.1", "core-js@3.26.1", "Hammer.js@2.0.7", "Underscore", "React"];["Lo-Dash:100.01!1", "core-js:96.02!1", "Hammer.js:92.85!1", "Underscore:91.97!1"]
disney.com;143;https://www.disney.com;["jQuery@3.5.1", "Underscore@1.13.1", "Backbone@1.4.0", "jQuery Tools", "core-js:87.64!1", "Modernizr@2.7.1"];["jQuery:99.87!1", "Underscore:98.75!1", "Backbone:91.12!1", "jQuery Tools:88.92!1", "core-js:87.64!1", "Modernizr:75.92!1"]
ford.com;147;https://www.ford.com;["Hammer.js@2.0.8", "core-js@3.6.5", "jQuery@1.12.4"];["jQuery:99.77!1", "Hammer.js:92.36!1", "core-js:86.54!1"]
accuweather.com;149;https://www.accuweather.com;["Zepto.js", "Underscore", "core-js", "jQuery", "Backbone"];["Zepto.js:96.81!3", "Underscore:92.58!2", "core-js:90.94!2", "jQuery:77.88!2", "Backbone:65.58!3"]
ny.gov;151;https://www.ny.gov;["jQuery@3.6.0", "Moment.js@2.29.4", "core-js@3.26.1", "Underscore@1.6.0", "jQuery UI@1.13.2"];["jQuery:99.87!1", "Moment.js:99.83!1", "core-js:93.82!1", "Underscore:91.35!1", "jQuery UI:77.08!1"]
amctheatres.com;153;https://www.amctheatres.com;["React", "Hammer.js", "core-js"];["core-js:98.90!1", "Hammer.js:92.85!1"]
akc.org;154;https://www.akc.org;["jQuery@3.6.1", "Underscore@1.13.6", "core-js", "Backbone@1.4.1"];["jQuery:99.87!1", "Underscore:99.37!1", "core-js:94.92!1", "Backbone:91.58!1"]
ncaa.com;155;https://www.ncaa.com;["Lo-Dash@4.17.21", "jQuery@3.6.0", "Handlebars@4.7.7", "core-js", "Backbone@1.4.1", "React", "Underscore", "jQuery UI@1.13.1"];["Lo-Dash:100.01!1", "jQuery:99.87!1", "Handlebars:99.59!1", "core-js:98.90!1", "Underscore:96.90!2", "Backbone:91.58!1", "jQuery UI:85.05!1"]
state.gov;159;https://www.state.gov;["jQuery@3.3.1", "Underscore@1.13.6", "core-js", "Backbone@1.14.1"];["jQuery:99.87!1", "Underscore:99.37!1", "core-js:98.90!1", "Backbone:91.58!1"]
istockphoto.com;160;https://www.istockphoto.com;["jQuery@2.2.4", "AngularJS@1.14.4", "jQuery UI@1.12.1", "core-js@3.0.0"];["jQuery:99.77!1", "AngularJS:93.96!1", "jQuery UI:88.26!1", "core-js:86.54!1"]
aa.com;162;https://www.aa.com;["jQuery@1.12.4", "jQuery UI@1.10.4", "core-js@3.0.0", "Modernizr@3.11.7"];["jQuery:99.77!1", "jQuery UI:99.23!1", "core-js:86.54!1", "Modernizr:72.25!1"]
goodreads.com;164;https://www.goodreads.com;["WebFont Loader", "Prototype@1.7", "jQuery@1.11.1", "yepnope", "React@0.14.3", "Modernizr@3.6.0"];["WebFont Loader:100.00!1", "Prototype:99.81!1", "jQuery:99.67!1", "yepnope:91.67!1", "Modernizr:66.67!1", "React:59.93!1"]
kayak.com;170;https://www.kayak.com;["jQuery@3.1.1", "Moment.js@2.18.1", "React@17.0.2"];["jQuery:99.87!1", "Moment.js:97.88!1", "React:93.43!1"]
washingtonpost.com;175;https://www.washingtonpost.com;["React", "Pusher"];["Pusher:99.20!1"]
fandango.com;178;https://www.fandango.com;["jQuery@3.5.1", "Isotope", "Hammer.js@2.0.7", "core-js@3.0.0"];["jQuery:99.87!1", "Isotope:95.54!1", "Hammer.js:92.85!1", "core-js:86.54!1"]
study.com;182;https://www.study.com;["jQuery@1.11.1", "RequireJS@2.3.2", "AngularJS@1.7.8", "Underscore@1.8.3", "core-js@3.0.0"];["jQuery:99.67!1", "RequireJS:98.88!1", "AngularJS:98.22!1", "Underscore:96.90!1", "core-js:86.54!1"]
bedbathandbeyond.com;184;https://www.bedbathandbeyond.com;["AMP"];["AMP:91.04!1"]
booking.com;189;https://www.booking.com;["jQuery@1.11.3", "Underscore@1.8.3"];["jQuery:99.67!1", "Underscore:96.90!1", "Closure Library:67.17!1", "RequireJS:52.57!2"]
capitalone.com;191;https://www.capitalone.com;["Angular@12.2.3", "Hammer.js@2.0.7", "core-js@3.2.1"];["Hammer.js:92.85!1", "core-js:90.52!1"]
hbomax.com;192;https://www.hbomax.com;["React", "Lo-Dash@4.17.21", "Underscore", "core-js"];["Lo-Dash:100.01!1", "Underscore:91.97!1", "core-js:89.42!1"]
noaa.gov;194;https://www.noaa.gov;["jQuery@3.6.3", "Handlebars@4.0.4", "Modernizr@3.3.1"];["jQuery:99.92!1", "Handlebars:97.17!1", "Modernizr:72.25!1"]
xbox.com;196;https://www.xbox.com;["Lo-Dash@4.17.21", "jQuery@3.4.1", "RequireJS@2.1.15", "Underscore", "core-js", "jQuery UI@1.8.5", "Modernizr@3.3.1"];["Lo-Dash:100.01!1", "jQuery:99.87!1", "RequireJS:98.88!1", "Underscore:91.97!1", "core-js:90.94!1", "jQuery UI:90.48!1", "Modernizr:69.13!1"]
carmax.com;199;https://www.carmax.com;["React", "Lo-Dash@4.17.21", "core-js@3.0.0", "Underscore"];["Lo-Dash:100.01!1", "Underscore:91.97!1", "core-js:86.54!1"]
